#Mol_idx,mol_in_unitcell,unitcell_in_supercell_a,unitcell_in_supercell_b,unitcell_in_supercell_c
0,0,-2,-2,-2
1,0,-2,-2,-1
2,0,-2,-2,0
3,0,-2,-2,1
4,0,-2,-2,2
5,0,-2,-1,-2
6,0,-2,-1,-1
7,0,-2,-1,0
8,0,-2,-1,1
9,0,-2,-1,2
10,0,-2,0,-2
11,0,-2,0,-1
12,0,-2,0,0
13,0,-2,0,1
14,0,-2,0,2
15,0,-2,1,-2
16,0,-2,1,-1
17,0,-2,1,0
18,0,-2,1,1
19,0,-2,1,2
20,0,-2,2,-2
21,0,-2,2,-1
22,0,-2,2,0
23,0,-2,2,1
24,0,-2,2,2
25,0,-1,-2,-2
26,0,-1,-2,-1
27,0,-1,-2,0
28,0,-1,-2,1
29,0,-1,-2,2
30,0,-1,-1,-2
31,0,-1,-1,-1
32,0,-1,-1,0
33,0,-1,-1,1
34,0,-1,-1,2
35,0,-1,0,-2
36,0,-1,0,-1
37,0,-1,0,0
38,0,-1,0,1
39,0,-1,0,2
40,0,-1,1,-2
41,0,-1,1,-1
42,0,-1,1,0
43,0,-1,1,1
44,0,-1,1,2
45,0,-1,2,-2
46,0,-1,2,-1
47,0,-1,2,0
48,0,-1,2,1
49,0,-1,2,2
50,0,0,-2,-2
51,0,0,-2,-1
52,0,0,-2,0
53,0,0,-2,1
54,0,0,-2,2
55,0,0,-1,-2
56,0,0,-1,-1
57,0,0,-1,0
58,0,0,-1,1
59,0,0,-1,2
60,0,0,0,-2
61,0,0,0,-1
62,0,0,0,0
63,0,0,0,1
64,0,0,0,2
65,0,0,1,-2
66,0,0,1,-1
67,0,0,1,0
68,0,0,1,1
69,0,0,1,2
70,0,0,2,-2
71,0,0,2,-1
72,0,0,2,0
73,0,0,2,1
74,0,0,2,2
75,0,1,-2,-2
76,0,1,-2,-1
77,0,1,-2,0
78,0,1,-2,1
79,0,1,-2,2
80,0,1,-1,-2
81,0,1,-1,-1
82,0,1,-1,0
83,0,1,-1,1
84,0,1,-1,2
85,0,1,0,-2
86,0,1,0,-1
87,0,1,0,0
88,0,1,0,1
89,0,1,0,2
90,0,1,1,-2
91,0,1,1,-1
92,0,1,1,0
93,0,1,1,1
94,0,1,1,2
95,0,1,2,-2
96,0,1,2,-1
97,0,1,2,0
98,0,1,2,1
99,0,1,2,2
100,0,2,-2,-2
101,0,2,-2,-1
102,0,2,-2,0
103,0,2,-2,1
104,0,2,-2,2
105,0,2,-1,-2
106,0,2,-1,-1
107,0,2,-1,0
108,0,2,-1,1
109,0,2,-1,2
110,0,2,0,-2
111,0,2,0,-1
112,0,2,0,0
113,0,2,0,1
114,0,2,0,2
115,0,2,1,-2
116,0,2,1,-1
117,0,2,1,0
118,0,2,1,1
119,0,2,1,2
120,0,2,2,-2
121,0,2,2,-1
122,0,2,2,0
123,0,2,2,1
124,0,2,2,2
